0.465079	5.89174	0.465079
0.84094	5.76082	0.375861
1.13812	4.59854	0.297179
1.37875	4.28599	0.240626
1.57181	3.89081	0.193067
1.72613	3.4112	0.154321
1.85004	3.33119	0.12391
1.94755	2.86884	0.0975074
2.02499	2.4801	0.0774416
2.08713	2.32581	0.0621353
2.13666	2.25665	0.0495305
2.17558	2.04621	0.0389273
2.20625	1.85817	0.0306629
2.23039	1.943	0.0241449
2.24816	2.13415	0.0177677
2.2554	2.02906	0.00724014
0.465079	6.09937	0.465079
0.837956	5.22127	0.372877
1.13943	5.06731	0.301478
1.37846	4.34014	0.23903
1.56953	3.72924	0.191065
1.72357	3.60665	0.154044
1.8456	3.01675	0.122024
1.94377	2.82167	0.098174
2.02211	2.65899	0.078341
2.084	2.26266	0.0618917
2.13364	2.10638	0.0496366
2.17332	2.01574	0.0396763
2.20474	1.94405	0.0314231
2.22927	1.89633	0.0245295
2.24759	2.1273	0.0183222
2.25588	2.19842	0.00828407
0.465079	6.22384	0.465079
0.836172	5.60904	0.371093
1.13103	4.74499	0.294856
1.36785	4.19926	0.236823
1.5584	3.86841	0.190553
1.71068	3.48337	0.15228
1.83217	2.92572	0.121482
1.93054	2.82461	0.0983687
2.00903	2.589	0.0784938
2.07146	2.24062	0.0624306
2.12168	2.08988	0.0502215
2.16194	2.07894	0.0402584
2.19362	1.95406	0.0316839
2.21835	2.01443	0.0247245
2.23647	2.12876	0.0181201
2.24437	2.13734	0.00790034
0.465079	6.04392	0.465079
0.838752	5.35312	0.373673
1.13924	4.95685	0.300486
1.37866	4.57092	0.239426
1.56768	3.91756	0.189015
1.71813	3.37387	0.150447
1.83888	3.07132	0.120756
1.93552	2.84279	0.0966383
2.01236	2.48556	0.0768449
2.07394	2.32391	0.0615774
2.12299	2.24067	0.049053
2.16158	1.95372	0.0385857
2.19229	1.9788	0.0307141
2.21609	1.97647	0.0237916
2.23336	2.12852	0.0172782
2.23982	1.89427	0.00645419
0.465079	5.88269	0.465079
0.841071	5.34456	0.375992
1.14376	4.97772	0.302693
1.38493	4.50369	0.241165
1.5762	3.71493	0.191269
1.73056	3.42882	0.154362
1.85436	3.36683	0.123798
1.9515	2.71213	0.0971442
2.02965	2.51423	0.0781499
2.09221	2.34878	0.0625621
2.142	2.14792	0.0497869
2.18162	2.05806	0.0396241
2.21284	1.92567	0.0312178
2.23725	1.89631	0.0244103
2.25545	2.14458	0.018201
2.2634	2.14535	0.00795019
0.465079	5.94397	0.465079
0.840189	5.41722	0.375109
1.14114	4.60604	0.300951
1.38509	4.58052	0.243953
1.57805	3.82089	0.192955
1.73293	3.54214	0.154879
1.85623	3.12319	0.123307
1.95476	2.81021	0.0985229
2.03348	2.49927	0.0787256
2.09664	2.42857	0.063157
2.14654	2.05004	0.0499003
2.18669	2.12277	0.0401549
2.21812	1.85732	0.0314282
2.24295	1.94491	0.0248234
2.2614	2.12215	0.0184554
2.26997	2.24306	0.0085697
0.465079	5.99283	0.465079
0.839486	5.411	0.374407
1.13988	4.83896	0.300398
1.38061	4.51713	0.240723
1.57134	4.04526	0.190733
1.72213	3.46132	0.150792
1.84247	3.10277	0.120338
1.93851	2.88587	0.0960352
2.01454	2.48279	0.0760326
2.07542	2.24459	0.0608776
2.12425	2.14847	0.0488388
2.16305	2.026	0.0388001
2.19368	1.94088	0.0306289
2.21752	1.92953	0.0238415
2.23502	2.1881	0.0174959
2.24149	1.89677	0.00646838
0.465079	6.13457	0.465079
0.837451	5.54651	0.372372
1.13426	4.78068	0.296811
1.37243	4.30771	0.238171
1.56307	4.06105	0.190633
1.71362	3.28473	0.150557
1.83522	3.0545	0.121596
1.93273	2.74566	0.0975116
2.01099	2.50355	0.0782552
2.0737	2.2156	0.0627169
2.1243	2.23381	0.0506011
2.16425	2.18843	0.03995
2.19526	2.01743	0.0310048
2.21918	1.8979	0.0239195
2.23687	2.08746	0.017688
2.24425	2.05268	0.00738195
0.465079	6.10751	0.465079
0.837839	5.33224	0.37276
1.13777	5.04348	0.299932
1.37569	4.16886	0.237921
1.56755	3.92305	0.19186
1.72049	3.42704	0.152939
1.84303	2.99195	0.122541
1.94185	2.8445	0.0988208
2.02062	2.5692	0.0787623
2.0834	2.20363	0.0627816
